accommodates,bedrooms,beds,bathrooms,longitude,neighbourhood_cleansed,room_type,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,nb_amenities,people_per_bedroom,amenities_per_person
4.0,2.0,2.0,1.0,-122.31636208846804,9.0,0.0,10.0,10.0,98.0,10.0,9.0,13.0,1.3333333333333333,4.0
2.0,1.0,1.0,1.0,-122.32575641729169,13.0,0.0,5.0,10.0,100.0,10.0,10.0,15.0,1.0,15.0
5.0,2.0,3.0,2.5,-122.31263900562249,8.0,0.0,9.0,10.0,97.0,9.0,9.0,17.0,1.6666666666666667,20.0
6.0,2.0,3.0,1.5,-122.38262126666932,15.0,0.0,10.0,10.0,95.0,10.0,10.0,17.0,2.0,20.0
2.0,1.0,1.0,1.0,-122.3544242919029,5.0,0.0,10.0,10.0,95.0,9.0,10.0,11.0,1.0,11.0
4.0,1.0,2.0,1.0,-122.2759678556447,15.0,0.0,10.0,10.0,98.0,10.0,10.0,23.0,2.0,20.0
2.0,0.0,1.0,1.0,-122.31606472501132,8.0,0.0,0.0,8.0,96.0,10.0,10.0,17.0,2.0,17.0
2.0,1.0,1.0,3.0,-122.3098044183936,11.0,1.0,0.0,8.0,96.0,10.0,10.0,16.0,1.0,16.0
2.0,1.0,1.0,1.0,-122.27644114940814,15.0,1.0,10.0,10.0,97.0,10.0,9.0,10.0,1.0,8.0
2.0,1.0,1.0,1.0,-122.31316340795988,15.0,1.0,10.0,10.0,93.0,10.0,9.0,12.0,1.0,12.0
9.0,3.0,7.0,2.5,-122.35296527326108,7.0,0.0,4.0,10.0,100.0,10.0,10.0,20.0,2.25,0.0
2.0,0.0,2.0,1.0,-122.27482611715182,15.0,0.0,10.0,10.0,95.0,10.0,9.0,13.0,2.0,13.0
2.0,1.0,1.0,1.0,-122.31723534881972,14.0,1.0,10.0,10.0,90.0,9.0,10.0,15.0,1.0,15.0
4.0,1.0,2.0,1.0,-122.32616812737476,14.0,0.0,1.0,6.0,100.0,10.0,10.0,18.0,2.0,20.0
6.0,4.0,5.0,2.0,-122.382461307405,15.0,0.0,2.0,10.0,94.0,9.0,10.0,17.0,1.2,20.0
1.0,1.0,1.0,1.0,-122.35480304957758,5.0,1.0,0.0,8.0,96.0,10.0,10.0,18.0,0.5,20.0
2.0,1.0,2.0,2.0,-122.34130359487251,15.0,1.0,0.0,8.0,96.0,10.0,10.0,7.0,1.0,2.0
3.0,2.0,3.0,1.5,-122.31783874206812,15.0,0.0,1.0,10.0,100.0,10.0,10.0,19.0,1.0,20.0
7.0,3.0,3.0,3.0,-122.29288601841937,15.0,0.0,10.0,10.0,93.0,9.0,9.0,14.0,1.75,20.0
3.0,1.0,2.0,1.0,-122.30547497392942,9.0,0.0,0.0,8.0,96.0,10.0,10.0,12.0,1.5,7.0
6.0,1.0,3.0,2.0,-122.33176374336436,1.0,1.0,4.0,10.0,83.0,8.0,10.0,5.0,3.0,20.0
2.0,1.0,1.0,1.0,-122.37227171191188,15.0,1.0,2.0,10.0,100.0,10.0,10.0,12.0,1.0,12.0
2.0,1.0,1.0,1.0,-122.30976375393608,12.0,1.0,3.0,10.0,87.0,9.0,9.0,11.0,1.0,11.0
2.0,1.0,1.0,1.0,-122.32770354691615,14.0,2.0,8.0,10.0,100.0,10.0,10.0,10.0,1.0,8.0
4.0,2.0,2.0,1.0,-122.33516407166192,13.0,0.0,3.0,10.0,93.0,9.0,10.0,12.0,1.3333333333333333,3.0
6.0,3.0,4.0,2.5,-122.35628277607007,2.0,0.0,10.0,10.0,98.0,10.0,10.0,17.0,1.5,20.0
2.0,1.0,1.0,1.0,-122.2966468290636,15.0,1.0,5.0,10.0,90.0,10.0,10.0,12.0,1.0,12.0
6.0,1.0,3.0,1.0,-122.29898053271232,15.0,0.0,10.0,10.0,89.0,9.0,8.0,18.0,3.0,20.0
2.0,1.0,1.0,1.0,-122.38861928749252,15.0,1.0,10.0,10.0,100.0,10.0,10.0,14.0,1.0,14.0
2.0,1.0,1.0,1.0,-122.32622512567526,15.0,0.0,10.0,10.0,95.0,10.0,10.0,14.0,1.0,14.0
2.0,1.0,1.0,1.0,-122.3180858936221,15.0,0.0,0.0,8.0,96.0,10.0,10.0,13.0,1.0,13.0
8.0,3.0,3.0,1.0,-122.3077378517925,15.0,0.0,4.0,10.0,90.0,8.0,10.0,19.0,2.0,20.0
2.0,0.0,1.0,1.0,-122.31509885196124,8.0,0.0,10.0,10.0,98.0,10.0,10.0,14.0,2.0,14.0
2.0,1.0,1.0,1.0,-122.3241333748826,3.0,0.0,5.0,10.0,40.0,6.0,8.0,15.0,1.0,15.0
4.0,1.0,2.0,1.5,-122.38345205120784,15.0,0.0,10.0,10.0,96.0,10.0,9.0,14.0,2.0,6.0
12.0,5.0,7.0,3.5,-122.26799527989228,15.0,0.0,4.0,10.0,90.0,7.0,9.0,15.0,2.0,20.0
2.0,1.0,1.0,1.0,-122.297122650074,15.0,1.0,4.0,10.0,100.0,10.0,10.0,19.0,1.0,19.0
2.0,1.0,1.0,1.0,-122.31194261637523,11.0,0.0,10.0,10.0,96.0,9.0,10.0,9.0,1.0,7.0
5.0,3.0,3.0,2.0,-122.3268727001244,13.0,0.0,0.0,8.0,96.0,10.0,10.0,16.0,1.25,5.0
2.0,1.0,1.0,1.0,-122.2697923822612,15.0,1.0,3.0,10.0,95.0,10.0,9.0,15.0,1.0,15.0
2.0,1.0,1.0,1.0,-122.3021606268358,15.0,1.0,10.0,10.0,94.0,10.0,8.0,9.0,1.0,7.0
4.0,1.0,2.0,1.0,-122.35913483927445,4.0,1.0,1.0,6.0,100.0,10.0,10.0,10.0,2.0,0.0
4.0,1.0,2.0,1.0,-122.37439908999774,15.0,0.0,2.0,10.0,98.0,10.0,10.0,16.0,2.0,20.0
4.0,1.0,1.0,1.0,-122.34415740858152,2.0,0.0,0.0,8.0,96.0,10.0,10.0,1.0,2.0,20.0
4.0,1.0,2.0,2.0,-122.3202597035664,14.0,1.0,8.0,10.0,96.0,9.0,10.0,12.0,2.0,3.0
2.0,1.0,1.0,3.0,-122.31867911342044,15.0,1.0,10.0,10.0,93.0,9.0,9.0,12.0,1.0,12.0
2.0,1.0,1.0,1.5,-122.30781604769996,15.0,1.0,0.0,8.0,96.0,10.0,10.0,16.0,1.0,16.0
4.0,2.0,2.0,1.0,-122.37504961717366,15.0,0.0,10.0,10.0,94.0,10.0,9.0,13.0,1.3333333333333333,4.0
2.0,1.0,1.0,1.0,-122.28567666760794,15.0,1.0,10.0,10.0,96.0,10.0,9.0,17.0,1.0,17.0
3.0,1.0,1.0,1.0,-122.30385749227617,8.0,2.0,10.0,10.0,92.0,8.0,9.0,13.0,1.5,20.0
2.0,1.0,1.0,1.0,-122.32858612455696,3.0,0.0,10.0,10.0,94.0,10.0,10.0,8.0,1.0,5.0
2.0,1.0,1.0,1.0,-122.40929610836392,15.0,1.0,0.0,8.0,96.0,10.0,10.0,18.0,1.0,18.0
