accommodates,bedrooms,beds,bathrooms,longitude,availability_30,availability_365,number_of_reviews,reviews_per_month,review_scores_checkin,review_scores_location,review_scores_value,nb_amenities,people_per_bedroom,estimated_months_active
4.0,1.0,2.0,1.0,2.34119,19.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,6.0,10.0
2.0,1.0,1.0,1.0,2.369,27.0,6.0,1.0,10.0,9.0,9.0,0.0,13.0,1.0,9.0
2.0,1.0,1.0,1.0,2.331356135326092,0.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0,10.0
2.0,1.0,0.0,1.0,2.29261,23.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,1.0,0.0
4.0,1.0,1.0,2.5,2.37847,7.0,2.0,10.0,10.0,9.0,5.0,3.0,20.0,6.0,10.0
2.0,0.0,1.0,1.0,2.328686,0.0,10.0,1.0,10.0,9.0,9.0,9.0,20.0,6.0,7.0
2.0,1.0,0.0,1.0,2.3449586,22.0,10.0,0.0,7.0,4.0,4.0,3.0,9.0,1.0,0.0
2.0,5.0,1.0,0.5,2.4014190418354064,0.0,0.0,0.0,7.0,4.0,4.0,3.0,19.0,10.0,0.0
2.0,0.0,0.0,1.0,2.33495,7.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,6.0,10.0
2.0,1.0,1.0,1.0,2.27504,18.0,10.0,10.0,10.0,10.0,6.0,10.0,6.0,1.0,10.0
2.0,1.0,1.0,1.0,2.35365,3.0,10.0,10.0,10.0,9.0,9.0,2.0,20.0,1.0,10.0
2.0,1.0,1.0,1.0,2.382739372551441,28.0,7.0,0.0,7.0,4.0,4.0,3.0,20.0,1.0,0.0
3.0,1.0,1.0,1.0,2.28308,5.0,10.0,10.0,10.0,10.0,3.0,10.0,20.0,4.0,10.0
2.0,1.0,1.0,1.0,2.381372460079705,0.0,10.0,6.0,10.0,9.0,9.0,6.0,9.0,1.0,10.0
2.0,1.0,1.0,1.0,2.3732051,18.0,10.0,2.0,10.0,9.0,10.0,0.0,20.0,1.0,10.0
4.0,1.0,1.0,1.0,2.37288,0.0,10.0,10.0,10.0,10.0,6.0,10.0,20.0,6.0,10.0
2.0,1.0,1.0,1.0,2.34906,2.0,10.0,10.0,10.0,7.0,7.0,10.0,20.0,1.0,10.0
4.0,2.0,3.0,1.5,2.33694,1.0,10.0,10.0,10.0,10.0,1.0,10.0,3.0,3.0,10.0
2.0,1.0,1.0,1.0,2.388545353184185,0.0,0.0,0.0,7.0,4.0,4.0,3.0,12.0,1.0,0.0
6.0,2.0,3.0,2.5,2.33911,23.0,10.0,2.0,9.0,10.0,10.0,10.0,9.0,6.0,2.0
3.0,2.0,2.0,1.0,2.37739,23.0,5.0,0.0,7.0,4.0,4.0,3.0,18.0,1.0,0.0
2.0,1.0,2.0,1.5,2.348399721086025,14.0,10.0,10.0,10.0,0.0,5.0,10.0,20.0,1.0,10.0
12.0,4.0,6.0,2.0,2.3525181,3.0,10.0,10.0,10.0,5.0,10.0,10.0,18.0,10.0,10.0
4.0,1.0,2.0,1.0,2.3091347,5.0,10.0,4.0,10.0,10.0,9.0,9.0,20.0,6.0,10.0
3.0,2.0,1.0,1.0,2.36164,1.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,1.0,10.0
2.0,0.0,1.0,1.0,2.35401,10.0,10.0,10.0,10.0,2.0,5.0,10.0,15.0,6.0,10.0
3.0,1.0,2.0,1.0,2.41062,26.0,10.0,10.0,10.0,6.0,10.0,10.0,20.0,4.0,10.0
3.0,1.0,1.0,1.0,2.35987,14.0,10.0,0.0,7.0,4.0,4.0,3.0,13.0,4.0,0.0
2.0,1.0,2.0,1.0,2.36305886490612,4.0,10.0,3.0,10.0,9.0,9.0,9.0,10.0,1.0,10.0
2.0,1.0,1.0,1.0,2.28669,25.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0,10.0
2.0,0.0,1.0,1.0,2.29923,20.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,6.0,10.0
6.0,3.0,4.0,2.0,2.3555091,1.0,10.0,10.0,10.0,3.0,2.0,9.0,20.0,4.0,10.0
2.0,1.0,1.0,1.0,2.342444309078933,16.0,10.0,3.0,10.0,9.0,10.0,9.0,20.0,1.0,10.0
4.0,2.0,2.0,1.0,2.3660661511183707,29.0,3.0,0.0,7.0,4.0,4.0,3.0,9.0,3.0,0.0
4.0,1.0,2.0,1.0,2.368806973099709,1.0,10.0,10.0,10.0,6.0,10.0,10.0,20.0,6.0,3.0
4.0,1.0,3.0,1.0,2.33508,0.0,0.0,6.0,0.0,9.0,9.0,10.0,20.0,6.0,10.0
4.0,1.0,2.0,1.0,2.36417,9.0,10.0,10.0,10.0,10.0,7.0,10.0,3.0,6.0,10.0
4.0,2.0,2.0,1.0,2.351320133310685,4.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,3.0,10.0
2.0,1.0,1.0,1.0,2.312517799437046,3.0,10.0,2.0,10.0,9.0,9.0,9.0,20.0,1.0,10.0
2.0,1.0,1.0,1.0,2.39063,8.0,10.0,7.0,10.0,0.0,10.0,9.0,20.0,1.0,10.0
6.0,2.0,3.0,2.0,2.37984,1.0,10.0,10.0,10.0,4.0,3.0,10.0,18.0,6.0,10.0
4.0,2.0,2.0,1.0,2.3687315,0.0,10.0,6.0,6.0,9.0,10.0,10.0,1.0,3.0,10.0
4.0,1.0,2.0,1.0,2.345969600000001,30.0,9.0,0.0,7.0,4.0,4.0,3.0,20.0,6.0,0.0
2.0,0.0,1.0,1.0,2.2941301,14.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,6.0,10.0
6.0,3.0,2.0,1.0,2.3122841119766235,0.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,4.0,0.0
3.0,1.0,2.0,1.0,2.3586233172734805,8.0,10.0,10.0,10.0,2.0,10.0,3.0,20.0,4.0,10.0
2.0,0.0,1.0,1.0,2.33689,18.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,6.0,10.0
7.0,8.0,6.0,1.0,2.302279142397716,29.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,10.0,0.0
6.0,2.0,3.0,2.5,2.3421792,8.0,10.0,10.0,10.0,10.0,4.0,2.0,17.0,6.0,10.0
2.0,1.0,1.0,1.0,2.3404274,25.0,10.0,2.0,10.0,9.0,9.0,9.0,20.0,1.0,10.0
2.0,1.0,2.0,1.0,2.3111259937286377,13.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,1.0,10.0
4.0,2.0,2.0,1.0,2.3785857,0.0,10.0,6.0,10.0,9.0,9.0,9.0,16.0,3.0,10.0
6.0,2.0,3.0,2.0,2.3517991,7.0,10.0,10.0,10.0,10.0,10.0,1.0,18.0,6.0,10.0
2.0,1.0,1.0,1.5,2.37517,23.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,1.0,10.0
4.0,2.0,2.0,1.0,2.3684058,13.0,10.0,0.0,7.0,4.0,4.0,3.0,7.0,3.0,0.0
4.0,2.0,2.0,1.0,2.30497,0.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,3.0,0.0
4.0,1.0,2.0,1.0,2.36521,13.0,10.0,10.0,10.0,9.0,9.0,5.0,20.0,6.0,10.0
2.0,0.0,1.0,1.0,2.38876,0.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,6.0,10.0
