accommodates,bedrooms,beds,bathrooms,latitude,longitude,neighbourhood_cleansed,property_type,room_type,minimum_nights,availability_30,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,month,day_of_week,nb_amenities,amenities,distance_center_km,lat_from_median,lon_from_median,people_per_bedroom,amenities_per_person,estimated_months_active,price
2.0,1.0,1.0,1.0,47.62620037381708,-122.36660192617585,81.0,0.0,1.0,1.0,29.0,364.0,84.0,4.55,95.0,10.0,9.0,10.0,10.0,10.0,9.0,12.0,0.0,14.0,556.0,3.405248422625244,0.0025994429424329724,0.037727491310462824,1.0,4.666666666666667,18.06451612903226,66.0
2.0,1.0,1.0,1.0,47.64064587578452,-122.37240588895553,81.0,9.0,1.0,2.0,29.0,171.0,45.0,4.58,98.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,8.0,213.0,4.870113313923326,0.017044944909876847,0.04353145409014303,1.0,2.6666666666666665,9.615384615384617,99.0
2.0,1.0,1.0,2.0,47.63977587341084,-122.37223535879995,81.0,0.0,1.0,1.0,0.0,125.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,20.0,1812.0,4.7866510139358,0.016174942536196113,0.04336092393457136,1.0,6.666666666666667,0.0,200.0
10.0,5.0,5.0,3.5,47.63602477658138,-122.35869359564737,81.0,9.0,0.0,3.0,24.0,359.0,5.0,0.82,85.0,10.0,9.0,9.0,9.0,8.0,8.0,12.0,0.0,19.0,1140.0,3.862739705119882,0.012423845706734937,0.0298191607819831,1.6666666666666667,1.7272727272727273,5.434782608695652,700.0
1.0,1.0,1.0,1.0,47.62794033813239,-122.36495872243864,81.0,7.0,0.0,1.0,29.0,360.0,1.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,11.0,689.0,3.445376290783358,0.00433940725774562,0.0360842875732601,0.5,5.5,0.9090909090909091,110.0
3.0,1.0,2.0,1.5,47.636374262238846,-122.36103343324052,81.0,9.0,1.0,1.0,30.0,365.0,11.0,0.71,84.0,9.0,9.0,9.0,9.0,10.0,8.0,12.0,0.0,12.0,112.0,3.9883327607702745,0.012773331364201113,0.032158998375138026,1.5,3.0,13.580246913580249,99.0
8.0,4.0,4.0,2.0,47.63563222417987,-122.35888090262146,81.0,9.0,0.0,4.0,0.0,53.0,1.0,0.86,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,13.0,2265.0,3.8327727806456373,0.012031293305227564,0.03000646775608118,1.6,1.4444444444444444,1.0416666666666667,450.0
2.0,1.0,1.0,1.0,47.63339395777785,-122.37191994372272,81.0,9.0,1.0,1.0,30.0,365.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,20.0,465.0,4.241739264939406,0.009793026903203383,0.04304550885733249,1.0,6.666666666666667,0.0,75.0
5.0,3.0,3.0,2.5,47.63851671212965,-122.36958103291498,81.0,9.0,0.0,3.0,0.0,212.0,1.0,0.18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,12.0,1133.0,4.553667038241256,0.014915781255005811,0.040706598049595755,1.25,2.0,3.571428571428571,600.0
8.0,3.0,5.0,2.5,47.63139734518299,-122.367766870679,81.0,9.0,0.0,4.0,0.0,293.0,8.0,1.3,100.0,10.0,10.0,9.0,10.0,10.0,10.0,12.0,0.0,16.0,1076.0,3.8662176888507545,0.007796414308344879,0.03889243581362223,2.0,1.7777777777777777,5.7142857142857135,450.0
5.0,2.0,3.0,1.0,47.63875224201261,-122.36797266885502,81.0,9.0,0.0,1.0,0.0,49.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,13.0,73.0,4.501482859239195,0.015151311137962864,0.03909823398963397,1.6666666666666667,2.1666666666666665,0.0,150.0
2.0,1.0,1.0,1.0,47.63926602026095,-122.37472581108145,81.0,5.0,1.0,2.0,22.0,107.0,80.0,4.38,95.0,10.0,10.0,10.0,10.0,9.0,9.0,12.0,0.0,6.0,227.0,4.8628996146961905,0.015665089386303066,0.0458513762160635,1.0,2.0,17.857142857142858,45.0
6.0,3.0,3.0,2.0,47.62990711611138,-122.36894813824875,81.0,0.0,0.0,2.0,24.0,356.0,6.0,2.47,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,18.0,1129.0,3.811753394872154,0.006306185236738315,0.040073703383370685,1.5,2.5714285714285716,2.3346303501945522,300.0
3.0,1.0,2.0,1.0,47.63981586823574,-122.37433846349175,81.0,0.0,0.0,2.0,0.0,305.0,4.0,0.33,85.0,8.0,9.0,7.0,10.0,9.0,9.0,12.0,0.0,14.0,1118.0,4.890340537881909,0.01621493736109869,0.04546402862636967,1.5,3.5,9.302325581395348,80.0
4.0,1.0,1.0,1.0,47.63900777818944,-122.36532007300232,81.0,0.0,0.0,2.0,19.0,323.0,38.0,1.86,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,14.0,2987.0,4.409380748667409,0.015406847314793026,0.03644563813693935,2.0,2.8,19.387755102040813,175.0
6.0,3.0,3.0,1.5,47.63508504491007,-122.36444347330422,81.0,9.0,0.0,2.0,23.0,162.0,68.0,2.18,92.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,0.0,13.0,2988.0,4.017338027960515,0.011484114035425819,0.03556903843883674,1.5,1.8571428571428572,29.824561403508767,325.0
4.0,3.0,2.0,3.0,47.640633234573535,-122.37270939338376,81.0,9.0,0.0,4.0,0.0,213.0,8.0,1.31,88.0,9.0,9.0,9.0,9.0,10.0,9.0,12.0,0.0,16.0,1952.0,4.883115974019707,0.017032303698890416,0.04383495851837438,1.0,3.2,5.673758865248226,175.0
7.0,4.0,3.0,3.5,47.63812148697112,-122.37578997278467,81.0,9.0,0.0,2.0,0.0,2.0,5.0,0.99,75.0,8.0,9.0,8.0,9.0,9.0,8.0,12.0,0.0,16.0,1731.0,4.821390937123418,0.014520556096478288,0.04691553791928982,1.4,2.0,4.587155963302752,222.0
4.0,2.0,2.0,1.0,47.62981553345287,-122.36621233485974,81.0,0.0,0.0,1.0,11.0,309.0,62.0,2.27,97.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,0.0,19.0,1751.0,3.6590647043165396,0.006214602578225481,0.03733789999435544,1.3333333333333333,3.8,26.160337552742615,159.0
